"Kerncijfers wijken en buurten 2017"
""
"";"";"Districts and neighborhoods"
"Subject";"";"The Netherlands";"Aa en Hunze";"District 00 Annen";"Annen";"Aalsmeer";"District 00 Aalsmeer";"Center"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Vrijstaande woning";"kWh";"4,040";"3,700";"3810";"3720";"4,400";"4,370";"4160"
"Energie|Gemiddeld elektriciteitsverbruik|Naar eigendom|Huurwoning";"kWh";"2210";"2,340";"2,260";"2,260";"2,450";"2,380";"2310"
"Energie|Gemiddeld elektriciteitsverbruik|Naar eigendom|Eigen woning";"kWh";"3,330";"3,520";"3,580";"3,520";"3620";"3,510";"3,250"
"Energie|Gemiddeld aardgasverbruik|Gemiddeld aardgasverbruik totaal";"m³";"1240";"1880";"1780";"1760";"1400";"1410";"1220"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Appartement";"m³";"840";"980";"870";"870";"760";"800";"790"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Tussenwoning";"m³";"1190";"1380";"1450";"1450";"1230";"1340";"1340"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Hoekwoning";"m³";"1430";"1540";"1580";"1580";"1480";"1580";"1700"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Twee-onder-één-kap-woning";"m³";"1680";"1670";"1690";"1690";"1780";"1790";"1710"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Vrijstaande woning";"m³";"2,200";"2,300";"2140";"2120";"2,380";"2,470";"2,390"
"Energie|Gemiddeld aardgasverbruik|Naar eigendom|Huurwoning";"m³";"1010";"1490";"1430";"1430";"1190";"1220";"990"
"Energie|Gemiddeld aardgasverbruik|Naar eigendom|Eigen woning";"m³";"1470";"2,050";"1910";"1890";"1520";"1580";"1370"
"Energie|Gemiddeld aardgasverbruik|Percentage woningen met stadsverwarming";"%";"5,6";".";".";".";".";".";"."
"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"aantal";"13396700";"20300";"2800";"2700";"24400";"9800";"1900"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"x 1 000 euro";"32,0";"31,7";"33,9";"33,2";"36,8";"35,3";"39,5"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"x 1 000 euro";"25,7";"26,0";"27,4";"26,8";"29,0";"29,0";"32,7"
"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"%";"40,0";"39,6";"36,1";"36,3";"35,0";"37,5";"33,4"
"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"%";"20,0";"19,8";"22,7";"22,1";"24,9";"21,8";"26,7"
"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"%";"59,3";"56,8";"59,8";"59,7";"66,3";"62,9";"68,2"
"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"%";"40,0";"31,8";"29,5";"30,2";"29,2";"34,3";"37,8"
"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"%";"20,0";"22,8";"26,0";"24,9";"31,1";"25,7";"26,7"
"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"%";"7,9";"5,0";"2,8";"2,8";"3,9";"4,3";"4,1"
"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"%";"7,2";"4,7";"3,8";"3,8";"3,8";"4,5";"4,6"
"Sociale zekerheid|Personen per soort uitkering; Bijstand";"aantal";"471190";"400";"30";"30";"260";"140";"10"
"Sociale zekerheid|Personen per soort uitkering; AO";"aantal";"744330";"1140";"100";"100";"900";"380";"30"
"Sociale zekerheid|Personen per soort uitkering; WW";"aantal";"340610";"560";"80";"70";"530";"200";"30"
"Sociale zekerheid|Personen per soort uitkering; AOW";"aantal";"3015730";"5980";"810";"780";"5480";"2970";"710"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen totaal";"aantal";"1508540";"2165";"255";"235";"3440";"1520";"365"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|A Landbouw, bosbouw en visserij";"aantal";"74815";"285";"20";"15";"120";"30";"0"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|B-F Nijverheid en energie";"aantal";"230745";"295";"35";"35";"480";"185";"35"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|G+I Handel en horeca";"aantal";"325275";"460";"60";"55";"895";"450";"115"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|H+J Vervoer, informatie en communicatie";"aantal";"129490";"130";"10";"10";"285";"115";"25"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|K-L Financiële diensten, onroerend goed";"aantal";"151660";"180";"25";"25";"495";"220";"70"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|M-N Zakelijke dienstverlening";"aantal";"397200";"515";"65";"60";"810";"345";"75"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|R-U Cultuur, recreatie, overige diensten";"aantal";"199360";"305";"40";"35";"360";"175";"45"
"Motorvoertuigen|Personenauto's|Personenauto's totaal";"aantal";"8222975";"14180";"1940";"1850";"16545";"6335";"1130"
"Motorvoertuigen|Personenauto's|Personenauto's; leeftijd|Personenauto's; jonger dan 6 jaar";"aantal";"2717530";"3975";"555";"530";"5900";"2265";"455"
"Motorvoertuigen|Personenauto's|Personenauto's; leeftijd|Personenauto's; 6 jaar en ouder";"aantal";"5505445";"10200";"1385";"1320";"10645";"4070";"675"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; brandstof benzine";"aantal";"6509000";"10815";"1530";"1465";"14340";"5530";"1000"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; overige brandstof";"aantal";"1713975";"3360";"410";"385";"2205";"805";"130"
"Motorvoertuigen|Personenauto's|Personenauto's per huishouden";"per huishouden";"1,1";"1,3";"1,3";"1,3";"1,3";"1,2";"1,0"
"Motorvoertuigen|Personenauto's|Personenauto's naar oppervlakte";"per km²";"244";"51";"132";"733";"822";"902";"2106"
"Motorvoertuigen|Motorfietsen";"aantal";"655990";"1685";"185";"175";"1440";"485";"100"
"Nabijheid voorzieningen|Afstand tot huisartsenpraktijk";"km";"1,0";"2,5";"1,0";"0,9";"0,9";"0,9";"0,8"
"Nabijheid voorzieningen|Afstand tot grote supermarkt";"km";"0,9";"2,3";"0,9";"0,8";"0,8";"0,6";"0,5"
"Nabijheid voorzieningen|Afstand tot kinderdagverblijf";"km";"0,8";"1,1";"0,5";"0,5";"0,7";"0,8";"0,5"
"Nabijheid voorzieningen|Basisonderwijs|Afstand tot school";"km";"0,7";"1,2";"0,8";"0,7";"0,7";"0,7";"0,5"
"Nabijheid voorzieningen|Basisonderwijs|Scholen binnen 3 km";"aantal";"11,2";"1,8";"2,4";"2,5";"4,4";"4,4";"4,0"
"Oppervlakte|Oppervlakte totaal";"ha";"4154302";"27887";"1478";"252";"3229";"1440";"61"
"Oppervlakte|Oppervlakte land";"ha";"3367996";"27625";"1466";"252";"2013";"703";"54"
"Oppervlakte|Oppervlakte water";"ha";"786306";"262";"13";"0";"1216";"738";"7"
"Postcode|Meest voorkomende postcode";"code";".";".";".";"9468";".";".";"1431"
"Postcode|Dekkingspercentage";"code";".";".";".";"1";".";".";"1"
"Stedelijkheid|Mate van stedelijkheid";"code";"2";"5";"5";"5";"4";"4";"4"
"Stedelijkheid|Omgevingsadressendichtheid";"per km²";"1969";"279";"389";"404";"904";"964";"991"
"Criminaliteit|Totaal diefstal uit woning/schuur/e.d.";"per 1 000 inwoners";".";"2";"2";"2";"3";"3";"2"
"Criminaliteit|Vernieling, misdrijf tegen openbare orde";"per 1 000 inwoners";".";"3";"1";"1";"3";"5";"8"
"Criminaliteit|Gewelds- en seksuele misdrijven";"per 1 000 inwoners";".";"2";"1";"1";"4";"5";"3"
"Bron: CBS"
